"Sample" "group" "sex"
"1" "HG00096" 0 "M"
"2" "HG00097" 0 "M"
"3" "HG00099" 0 "F"
"4" "HG00100" 0 "M"
"5" "HG00101" 0 "F"
"6" "HG00102" 0 "M"
"7" "HG00103" 0 "F"
"8" "HG00105" 0 "F"
"9" "HG00106" 0 "F"
"10" "HG00107" 0 "F"
"11" "HG00108" 0 "F"
"12" "HG00109" 0 "M"
"13" "HG00110" 0 "F"
"14" "HG00111" 0 "F"
"15" "HG00112" 0 "F"
"16" "HG00113" 1 "M"
"17" "HG00114" 1 "F"
"18" "HG00115" 1 "M"
"19" "HG00116" 1 "M"
"20" "HG00117" 1 "M"
"21" "HG00118" 1 "M"
"22" "HG00119" 1 "M"
"23" "HG00120" 1 "F"
"24" "HG00121" 1 "F"
"25" "HG00122" 1 "F"
"26" "HG00123" 1 "F"
"27" "HG00125" 1 "F"
"28" "HG00126" 1 "M"
"29" "HG00127" 1 "M"
"30" "HG00128" 1 "M"
